DisplayName;ServiceName;StartType;ServiceType;Description
Cópia de Sombra de Volume;VSS;Manual;Win32OwnProcess;"Gerencia e implementa Cópias de Sombra de Volume usadas para backups e outros fins. Se esse serviço for interrompido, as cópias de sombra não estarão disponíveis para o backup, que poderá falhar. Se esse serviço for desabilitado, qualquer serviço que dependa dele de forma explícita não poderá ser iniciado."
Dados de Contato_1c1eca42;PimIndexMaintenanceSvc_1c1eca42;Manual;224;"Indexa dados de contato para pesquisas rápidas de contatos. Se você interromper ou desabilitar este serviço, os contatos poderão não aparecer nos resultados da pesquisa."
Dell Client Management Service;DellClientManagementService;Automatic;Win32OwnProcess;"Enables Dell applications to manage Dell specific features of the system. If this service is stopped, any services that explicitly depend on it will cause this service to be restarted. If this service is disabled, any services that explicitly depend on it will fail to function."
Dell Command | Power Manager Notify;dcpm-notify;Manual;Win32OwnProcess, InteractiveProcess;""
Dell Data Vault Collector;DDVDataCollector;Automatic;Win32OwnProcess;"DDV Collector service gathers system information and stores it for later use"
Dell Data Vault Processor;DDVRulesProcessor;Automatic;Win32OwnProcess;"DDV Rules Processor generates alerts based on data collected by DDV Collector service"
Dell Data Vault Service API;DDVCollectorSvcApi;Automatic;Win32OwnProcess;"Dell Data Vault Service API exposes a COM API for working with the DDV services"
Dell Hardware Support;Dell Hardware Support;Automatic;Win32OwnProcess;"Dell Hardware Support continuously monitors PC component health to identify and help resolve possible hardware issues."
Dell SupportAssist;SupportAssistAgent;Automatic;Win32OwnProcess;"Dell SupportAssist keeps your PC up to date and running at its best with recommended software and driver updates. It also helps resolve issues quickly by detecting common problems and sending issue details to Dell Technical Support agents on your behalf."
Dell.CommandPowerManager.Service;Dell.CommandPowerManager.Service;Manual;Win32OwnProcess;""
